"title","link","image"
"बुलिश बजारमा कुन उपसमूहमा कुन कम्पनीकाे शेयरमूल्य सर्वाधिक बढ्यो?","https://merolagani.com/NewsDetail.aspx?newsID=71937","https://images.merolagani.com/Uploads/Repository\637043318702496667.jpg"
"दोस्रो बजारमा अब रुपैयाँमा मात्रै होइन पैसामा पनि कारोबार गर्न पाइने, ‘टिक साइज’ एक रुपैयाँबाट १० पैसामा झर्दै","https://merolagani.com/NewsDetail.aspx?newsID=71935","https://images.merolagani.com/Uploads/Repository\637589426374769818.jpg"
"बैंकहरुको मुद्दति निक्षेप बढ्यो, कुन बैंकमा कति छ मुद्दति निक्षेप?","https://merolagani.com/NewsDetail.aspx?newsID=71930","https://images.merolagani.com/Uploads/Repository\636683074532621464.jpg"
"नेप्सेमा करेक्सन जारी, १३ कम्पनीको शेयर सकारात्मक सर्किट लेभलमा कारोबार","https://merolagani.com/NewsDetail.aspx?newsID=71934","https://images.merolagani.com/Uploads/Repository\637127885210400708.jpg"
"आधा दर्जन वाणिज्य बैंकमा अध्यक्ष, सिइओ र स्वाप रेसियोका कारण मर्जर भाँडिएको खुलासा","https://merolagani.com/NewsDetail.aspx?newsID=71932","https://images.merolagani.com/Uploads/Repository\637343181026635888.jpg"
"भ्वाइस, डेटा र इन्टरनेटको गुणस्तर मापन गर्न स्वचालित प्रविधि भित्र्याउदै दूरसञ्चार प्राधिकरण, पूर्वाधार नहुँदा नियमनमा समस्या","https://merolagani.com/NewsDetail.aspx?newsID=71929","https://images.merolagani.com/Uploads/Repository\637589268722505491.png"
"बैंकभन्दा फाइनान्स कम्पनी शेयरमूल्य बढी, यसकारण फाइनान्स कम्पनीको शेयरमूल्यमा आयो ‘उछाल’","https://merolagani.com/NewsDetail.aspx?newsID=71919","https://images.merolagani.com/Uploads/Repository\637028475440697629.jpg"
"धनी व्यक्तिहरूको सोच प्रष्ट्याउने पुस्तक ‘हाउ रिच पिपल थिंक’ को सारंश","https://merolagani.com/NewsDetail.aspx?newsID=71915","https://images.merolagani.com/Uploads/Repository\637546160263080383.jpg"
"जीवन बीमा कम्पनीहरुको लाभांश प्रस्तावमा किन ढिलाई ?","https://merolagani.com/NewsDetail.aspx?newsID=71912","https://images.merolagani.com/Uploads/Repository\637360259975681587.jpg"
"पुनर्बीमा ब्रोकर सम्बन्धी निर्देशिका जारी, पुनर्बीमा ब्रोकरले के के गर्छ ?","https://merolagani.com/NewsDetail.aspx?newsID=71917","https://images.merolagani.com/Uploads/Repository\636906922885184618.jpg"
"संस्थागत बीमा अभिकर्ता सम्बन्धी निर्देशिका जारी, संस्थागत अभिकर्ताले  अनलाइन मार्फत कारोबार गर्न सकिने","https://merolagani.com/NewsDetail.aspx?newsID=71918","https://images.merolagani.com/Uploads/Repository\636906922885184618.jpg"
